designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 4519789321942643072,286.7709107522999,20.88648751787881,113.25212980007824,0.029636156,592.1163,-478.2669365898841,-349.0879613011435,0.8074018,9.814883,11.012309,8.729002,3227.885,3223.4243,3253.3337,4.2259,4.2118,4.3435,-1.1127,-1.1277,-0.9791,8.8324,8.7828,8.85
Gaia DR3 2024942153671161472,294.1981093163538,26.239292051446622,42.27520155467817,2.8305585,74.91346,-16.204152538055638,73.13994709518383,2.1134052,20.793224,,,,,,,,,,,,,,
Gaia DR3 6235533167875990272,238.1869310006881,-26.38915421137295,94.3572802841624,0.05277486,499.84485,211.44070556220115,-452.92129506068454,1.3521826,14.07837,16.727856,12.648367,,,,,,,,,,,,
Gaia DR3 6234648404610590208,235.11768297918377,-26.23362424553389,67.27383997777498,0.14561386,1613.0479,-1149.888503038056,-1131.229415660947,0.8787393,15.724944,19.083712,14.214244,,,,,,,,,,,,
Gaia DR3 5374565879145559424,169.6111571930751,-47.365669836684354,58.69943047458538,0.025764056,333.14172,-331.3609156127773,34.40000606948579,1.0218755,15.365386,15.648704,14.910942,,,,,,,,,,,,
Gaia DR3 5611909104822545152,112.50772620155806,-28.517137799167745,55.391071498911806,0.020923154,177.69202,-152.7186388249026,90.83758928617458,1.1451907,13.948304,15.992639,12.623361,,,,,,,,,,,,
Gaia DR3 6838311796136238976,326.76139246141946,-16.128607188133948,85.94055985093036,0.33271763,394.32407,259.7074391661449,-296.72127999345474,3.917951,2.836813,3.2903588,2.6031075,,,,,,,,,,,,
Gaia DR3 1831553382794173824,308.58920706023395,25.061315564319592,67.40845955050386,0.036736973,692.92474,-403.3866541452538,-563.4038765612804,1.075596,11.536574,11.448345,11.723778,,,,,,,,,,,,
Gaia DR3 6232511606838403968,224.37159427348143,-21.423140396261676,169.8842702825854,0.06534182,2008.6803,1031.4718694823848,-1723.6189029383202,1.2978287,5.3640366,5.9606276,4.637024,4503.0303,4499.257,4504.588,4.5357,4.5323,4.5372,-0.0429,-0.0728,-0.0327,5.887,5.8827,5.891
Gaia DR3 3320184202856435840,89.10409821980528,5.359344709329013,123.19885316518207,0.017005328,1026.4637,-444.6846044467807,-925.1396520378544,0.9165941,13.9694195,14.296304,13.465378,,,,,,,,,,,,
Gaia DR3 1010729194865571456,135.1322606052177,46.5840885943522,99.16495239927531,0.035657045,705.4893,-472.83456787891043,-523.5863088500195,1.2675668,11.792696,13.608401,10.506265,3001.3564,3000.3252,3006.4438,4.6999,4.6816,4.7122,-0.5058,-0.5262,-0.5005,10.0586,9.9734,10.2685
Gaia DR3 1015570963037979264,135.2152883154428,48.418919989426016,51.08371509249398,0.03171999,1069.5675,-254.24945222864676,-1038.9090299259833,1.5035322,12.89207,14.399192,11.696575,3063.442,3052.5684,3162.1335,4.5907,4.5555,4.9174,-0.7699,-0.8119,-0.3916,19.5219,19.3913,19.6883
Gaia DR3 1016186483391641216,137.15547190532683,50.53352258401724,95.92903009392947,0.5493226,626.9806,-414.6802757472741,-470.26052317080155,1.2108575,19.737457,21.624361,18.103348,,,,,,,,,,,,
Gaia DR3 1016640817918422272,135.93078072117314,52.04697454057216,53.65914303040306,0.028434312,335.51266,250.86647107380878,-222.7885825124265,1.3353243,11.779119,13.255323,10.586284,,,,,,,,,,,,
Gaia DR3 1005873614080407296,91.37515254235736,60.819401063972606,61.42624480808465,0.053372324,840.46796,290.1890575197944,-788.781768640439,1.3565965,12.296865,13.905001,11.0301895,,,,,,,,,,,,
Gaia DR3 1017783146073299328,134.8975225560541,53.72986152233806,55.73380444545231,0.42021844,324.42255,-268.96551256595194,-181.40437288765435,14.597138,12.093691,13.501998,10.691236,,,,,,,,,,,,
Gaia DR3 1014058103758571520,134.7989643318015,48.040871471105525,68.00099930164292,0.42232543,489.16425,-439.83552453066625,-214.0709500414631,4.8404894,3.120973,3.4182682,2.91068,7498.3286,7493.946,7502.5083,3.9261,3.9199,3.9317,-1.7544,-1.7828,-1.7181,14.7754,14.6842,14.8803
Gaia DR3 1018776176872261248,143.20753978122536,51.67490604097004,73.82839808283359,0.20464002,1087.2969,-942.5671400184004,-542.0162846102697,3.7485316,3.0717425,3.5151834,2.686608,,,,,,,,,,,,
Gaia DR3 1022122334352145280,145.59099004006242,55.981426398963755,60.50833058897456,0.02839143,873.1035,-709.9561374383179,-508.204692001657,1.4563831,11.263366,12.779421,10.047777,,,,,,,,,,,,
Gaia DR3 5826576346314528768,233.65525644835793,-64.34263366130168,65.68147168630631,3.1060154,24.122583,-23.92058060152718,-3.1152684933259236,1.8281096,20.62419,21.514769,19.132967,,,,,,,,,,,,
Gaia DR3 3143635723866162432,117.96608429205932,5.5473917843088385,67.62125670948608,0.018957488,603.7159,443.24594682958303,-409.8852509291396,1.1668386,13.14167,15.058582,11.843256,3036.8499,3036.3179,3037.1616,5.0785,5.0772,5.0789,-0.2127,-0.2141,-0.2085,14.7786,14.7707,14.8109
Gaia DR3 3144499458967932672,119.53643234079509,7.283595270088088,76.28062631975945,0.026291456,327.2709,-325.7097620122014,-31.927940850846277,1.312306,12.287489,14.020569,11.021154,3107.8413,3107.6775,3108.0117,5.0215,5.0212,5.0217,-0.107,-0.1077,-0.106,13.0746,13.069,13.0817
Gaia DR3 4745373133284418816,40.64179116281783,-50.7993179041391,57.613144345224306,0.03827621,399.3904,333.7156354272668,219.42328991689652,0.8463041,5.256284,5.5420146,4.815602,6006.4995,6005.4805,6007.604,4.2437,4.2417,4.2459,-0.2154,-0.223,-0.2078,17.3537,17.3425,17.365
Gaia DR3 4741883764414703232,42.539712986926446,-53.13673320472705,75.7208110106814,0.015200389,516.0689,-114.44779836214741,503.21847181587145,1.1691872,9.801348,10.956002,8.730087,3298.9294,3296.2646,3331.836,4.1187,4.111,4.225,-0.9627,-0.9712,-0.8391,13.2155,13.205,13.2699
Gaia DR3 4752399493622045696,43.77198593477078,-47.01672835622661,205.42508538452748,0.18571998,1154.1206,1012.4447203711677,-554.03083867335,1.1210604,18.57293,21.753365,16.880054,,,,,,,,,,,,
Gaia DR3 662732046688476288,127.90548153708953,19.393744261856593,60.060197339118865,0.03558466,258.2275,-228.6940326664486,-119.91862994146041,1.4624413,10.576141,12.172066,9.311561,,,,,,,,,,,,
Gaia DR3 662732115405773824,127.90485092635714,19.39629658762344,60.68955968293527,0.14576858,242.45908,-207.4434654728106,-125.51340051237622,2.3676624,12.93071,,10.643531,,,,,,,,,,,,
Gaia DR3 662732115407952768,127.90487350364732,19.396565229744922,60.24847256359505,0.07637648,266.1767,-232.87764449312579,-128.91094367626908,2.0512962,12.277853,13.674892,10.557709,,,,,,,,,,,,
Gaia DR3 664214600677732864,126.32931321958031,21.26297407961963,92.60057937573538,0.8220848,588.2883,-504.45372924629316,-302.6708106861668,1.1112114,20.402082,21.285553,18.758982,,,,,,,,,,,,
Gaia DR3 666988221840703232,118.10053540514113,16.20259810649539,52.963025198074455,0.051980983,395.2963,183.1692264383201,-350.29730061966654,1.1532431,14.752794,17.225756,13.32958,,,,,,,,,,,,
Gaia DR3 670216834655936128,118.7257197261927,19.234326463561374,49.24428961984943,0.2877948,463.7809,95.08159277517561,-453.92975325352097,11.460389,7.472892,7.968472,6.816317,,,,,,,,,,,,
Gaia DR3 671143035762692352,115.27734902625781,17.64357223261566,53.5854781811648,0.08872915,538.3039,-201.40254001699475,-499.20743906952873,1.211971,16.06871,19.21863,14.574118,,,,,,,,,,,,
Gaia DR3 671436777166606976,114.71207091660125,18.488193351242426,54.400395537100174,0.05128654,183.99812,69.90887887844168,-170.20006003558754,1.3444508,14.343613,16.622835,12.971875,,,,,,,,,,,,
Gaia DR3 672091364541849344,117.07514854485704,20.363715703599137,68.03336375534937,0.022327024,1756.924,1450.0374715502585,-992.054978382924,1.3234195,10.552906,11.670434,9.500179,3547.2454,3546.7761,3547.8687,4.8949,4.892,4.8955,-0.4135,-0.4194,-0.4113,14.65,14.6394,14.6664
Gaia DR3 4285624303336874624,281.29262217197936,6.3374156249477505,52.99072240339402,0.030090025,86.43922,-37.849058703980006,-77.7122069433944,1.0095671,10.016044,11.088386,8.989886,3396.9548,3395.2732,3402.5168,4.086,4.0821,4.0978,-0.9749,-0.9787,-0.9592,18.8953,18.8733,19.0043
Gaia DR3 4147834330766001536,266.9490562548777,-16.714973039871147,43.028194570419295,2.771468,24.29713,-24.265538207932302,1.2386471249414324,1.884321,20.150072,20.492188,18.844255,,,,,,,,,,,,
Gaia DR3 4147894082398766080,266.84864561621583,-16.369481124575092,42.66829126718532,2.471572,10.701807,-5.168687902428985,9.370877335900662,1.2343392,20.53789,,,,,,,,,,,,,,
Gaia DR3 5099657838705246464,49.20045146171961,-21.42329896317613,57.15716158056792,0.019513113,291.5635,257.24553232166903,137.23710284638327,1.0869188,10.0897255,11.284768,9.001732,,,,,,,,,,,,
Gaia DR3 5087043657197267200,56.71125691970994,-23.252076788991744,56.228101065104696,0.13927396,553.26276,-159.91989296143683,-529.6464279832751,2.144125,4.1130624,4.3284616,3.7340684,6483.9487,6482.2866,6486.0493,4.026,4.0176,4.0286,-0.5811,-0.5952,-0.56,17.9003,17.831,18.2018
Gaia DR3 5082514940600694272,60.12104814020346,-25.87995956135253,53.68354594360674,0.022979502,459.5702,368.5846923580701,274.49971461483176,1.6336024,12.178685,13.6500225,10.987447,,,,,,,,,,,,
Gaia DR3 5079067147013772288,43.66648548412693,-22.266581909507593,70.04028478108923,0.026404543,390.83502,383.83420340812927,-73.64315757980562,1.3151368,11.748698,13.199437,10.563382,,,,,,,,,,,,
Gaia DR3 5089072526731699072,61.83624336770453,-24.4899792475875,54.178958237345746,0.047568157,670.49097,186.61711036225483,-643.9970187930139,1.4839997,11.6661825,12.812332,10.083656,,,,,,,,,,,,
Gaia DR3 5089072531027887232,61.83660838935507,-24.490010370294005,54.32403871356248,0.058501333,704.14526,219.00429529184527,-669.2216593686452,1.5905108,12.054182,12.925132,10.064442,,,,,,,,,,,,
Gaia DR3 6031475835680030720,248.91420693698925,-30.859358605809874,51.52022228159037,0.026019191,1163.7977,-802.5525236930393,-842.8134929826488,1.047833,11.547314,12.915356,10.392847,3180.8992,3158.981,3296.9993,4.3908,4.3061,4.6752,-0.6143,-0.7136,-0.2911,19.4043,19.3029,19.6072
Gaia DR3 1331106782752978688,247.10143735940747,36.77438726537573,62.9108969334804,0.014343127,895.4447,-494.23033111121885,746.6977920401503,1.0465025,13.783075,13.848143,13.660725,,,,,,,,,,,,
Gaia DR3 1327542647092300288,248.86504278663952,35.015360313741624,57.99229457212472,0.113304965,200.1542,139.43900832507688,-143.591325110519,2.302467,11.597409,13.221433,10.351076,,,,,,,,,,,,
Gaia DR3 1327654969076730880,249.25489571253422,35.593526440532905,56.47461369810905,0.031154744,544.893,-196.47911699452874,-508.23650556481357,1.1074288,14.669113,17.04788,13.287445,,,,,,,,,,,,
Gaia DR3 1329942262499164544,243.93381504499396,35.98086198987554,50.157292343805025,0.28754172,530.24536,-30.243613854086988,-529.3821778029584,1.0646412,19.598196,21.62729,18.009287,,,,,,,,,,,,
Gaia DR3 1332966881549315456,247.8274448005916,40.86572384148289,88.8226975511887,0.026107742,338.19107,-143.43409539986135,306.26762215919723,1.1958187,12.927332,15.092967,11.573926,2915.1675,2911.3706,2916.1438,5.0604,5.0309,5.0622,-0.0215,-0.0848,-0.0174,11.2353,11.2147,11.267
Gaia DR3 1326893351115617024,251.6292959257543,34.580290245898446,84.0079414961219,0.031360738,542.4781,-383.68042319922597,-383.4994155227405,1.1496868,14.285157,17.027956,12.85121,,,,,,,,,,,,
Gaia DR3 1323427759184545536,240.26003097651244,33.30007876899923,57.107641921520774,0.050787035,797.2936,-198.27831508830613,-772.2452745156925,1.0011556,5.2328,5.553617,4.7546616,5708.916,5708.076,5709.787,4.207,4.2061,4.2078,-0.6841,-0.6924,-0.6755,17.4969,17.4816,17.5129
Gaia DR3 1333760419707327744,260.16557980211155,32.46311742250856,68.55754109923836,0.05527961,1049.7749,135.8104459559967,-1040.952821790978,1.2092994,5.2098746,5.5371356,4.716525,5630.0605,5628.8184,5631.532,4.284,4.283,4.2856,-0.7217,-0.7336,-0.7103,14.572,14.5349,14.587
Gaia DR3 99279543440878208,34.64972519921587,20.795771330845703,49.94900399180823,0.035469405,292.61014,-25.683852543859437,-291.48077041099384,1.3002787,11.385034,12.632427,10.278625,,,,,,,,,,,,
Gaia DR3 91196316201965184,29.56508818927173,18.12063665648874,50.74752619389176,0.069586724,124.2776,-87.84939162651432,87.90567170762215,1.0471758,15.631049,18.290426,14.201983,,,,,,,,,,,,
Gaia DR3 91289568531757184,26.24011778622647,16.342362643528975,61.67483215879825,0.039622404,849.89307,-738.4629577537605,-420.70258580315317,1.4429072,12.635297,14.3422985,11.383546,,,,,,,,,,,,
Gaia DR3 96331172942614528,25.62258568627586,20.26551918225611,130.823369060264,0.15318972,737.6295,-300.73691840079994,-673.5388952717276,1.2618266,4.99968,5.439818,4.4173326,5092.744,5091.184,5094.2344,4.4769,4.4753,4.4782,-0.307,-0.3164,-0.2984,7.6485,7.6358,7.6675
Gaia DR3 97334889619799168,27.85070481391559,21.39275062405243,59.114698701370486,0.040357795,347.55194,-3.4810741131355556,-347.5345078314365,1.759771,12.493827,14.15034,11.253355,3159.9453,3159.5256,3160.9517,4.9958,4.9906,4.9966,-0.0801,-0.0821,-0.0703,16.8766,16.847,17.0854
Gaia DR3 97993497084921984,27.018206566174985,21.205767467992107,53.733743433108124,0.03615083,409.52438,346.43849534019944,-218.38172989300637,1.4426987,11.108311,12.395121,9.986194,3211.953,3210.9163,3213.9585,4.1995,4.1951,4.2038,-0.8656,-0.8695,-0.8566,18.7077,18.6788,18.8609
Gaia DR3 102162639019033600,38.40513666109431,24.92413187711575,100.14654474186186,0.042935688,677.5201,48.39169781028855,-675.7897086061098,1.423382,11.529306,13.241863,10.273463,3089.2524,3064.308,3101.007,4.8588,4.6585,4.9427,-0.3066,-0.6803,-0.1262,9.973,9.8961,10.0642
Gaia DR3 4568060562432051584,256.77899349986836,21.553906093733755,70.96842537636431,0.022376621,464.0011,-463.28942098720484,-25.689341515298082,1.3690546,10.5571375,11.891309,9.413489,3224.72,3224.5144,3224.9536,4.0725,4.0701,4.0734,-1.2005,-1.201,-1.2002,14.1021,14.0882,14.1497
Gaia DR3 4572835535272627712,254.53630439635958,25.741901295427926,96.23334220914137,0.02437334,521.0084,-115.31383055701954,-508.0870811384355,1.1639711,8.823617,9.900322,7.787876,,,,,,,,,,,,
Gaia DR3 3496355755520065408,189.8989000476626,-26.970549522793522,91.11268228893773,0.03062747,614.9609,-585.3449500720222,-188.54212253493628,1.1914544,13.392563,15.533247,12.054955,,,,,,,,,,,,
Gaia DR3 3498481519515679872,192.0430619597798,-24.80584856631553,53.3334069352827,0.025504814,358.0902,-315.44018953574727,169.4877107371373,1.2580038,8.457304,9.104734,7.684172,4372.129,4361.26,4377.4917,4.6272,4.6156,4.6367,0.1314,0.0581,0.1883,18.7752,18.7227,19.2668
Gaia DR3 3498481592531208576,192.04004745422262,-24.80394386396552,53.39872999671822,0.01950442,355.13715,-320.96806637546035,151.99308557433503,1.1286132,9.30469,10.1491995,8.406004,3973.937,3972.4233,3974.9714,4.6705,4.6663,4.674,-0.0721,-0.0782,-0.0612,18.7005,18.6865,18.7799
Gaia DR3 3499296429434610304,194.05414981104076,-22.08421085269118,50.6099946750953,0.03931205,410.6296,-294.9205797374838,-285.7245851293034,1.6199315,11.470684,12.772075,10.34631,,,,,,,,,,,,
Gaia DR3 3493736924979792768,178.92674906227322,-22.4171647007583,91.26917049175621,0.07413615,418.68927,-374.49965138992366,-187.21836124474873,1.1044817,15.096619,18.399044,13.592555,,,,,,,,,,,,
Gaia DR3 4159791176135290752,277.82623511008404,-7.541015588057071,53.48198490857519,0.39815444,204.85242,136.40013478418487,-152.83819950396693,4.256489,17.313625,20.692974,15.568857,,,,,,,,,,,,
Gaia DR3 2176116580055936512,319.7337822945517,54.21231528668666,57.764273032111554,0.021591842,211.24655,-85.45007863177405,193.1926180398488,0.90151924,12.393204,12.355269,12.495866,,,,,,,,,,,,
Gaia DR3 373838214051410816,14.504225894844094,39.31987471822514,68.38926230647178,0.036007095,109.9254,-107.04568422778081,24.996286898655192,1.4019374,12.648504,14.437643,11.372095,,,,,,,,,,,,
Gaia DR3 369092520004831232,10.207364173636813,40.18419884311135,55.84122126550314,0.02347383,758.1546,356.31823483004644,-669.2052602194763,1.0481493,7.0926743,7.5670233,6.453562,4874.7036,4874.0215,4875.3833,4.4893,4.4887,4.49,-0.0149,-0.0182,-0.0114,17.8925,17.8849,17.9004
Gaia DR3 6718894388002453120,286.7175457009758,-37.8122904372201,58.986011129792345,0.037590206,412.2221,-187.6995543963008,-367.00947258646795,0.9473194,5.9807982,6.326192,5.4589233,,,,,,,,,,,,
Gaia DR3 154666071592704128,71.10905114753587,27.860338843915347,60.81899265735798,0.0152134895,437.44244,95.79367950666648,-426.824860114572,0.9109502,10.31775,11.440454,9.260929,3349.5686,3342.6233,3393.803,3.9913,3.9724,4.1004,-1.4214,-1.4361,-1.3079,16.4352,16.4018,16.6722
Gaia DR3 151650076838458112,69.20216846208109,27.13153567911015,57.487253800399245,0.04713103,275.05188,232.1700243472911,-147.48090257579935,1.8087673,7.7456923,8.360612,6.9765444,4289.0933,4285.1694,4292.1387,4.3453,4.3343,4.3584,-1.0728,-1.1162,-1.0073,17.3947,17.376,17.417
Gaia DR3 151650935831913216,69.18820274380334,27.16365247435903,57.47181228815324,0.041458268,271.60498,227.47933818329824,-148.39952640218354,0.93887466,15.610918,15.97125,15.072892,,,,,,,,,,,,
Gaia DR3 150510158159630848,65.74709242385883,25.986214128203905,57.13742376307435,0.027449738,246.98383,34.45226643644329,-244.5691076182084,1.163086,12.696143,14.40268,11.438454,,,,,,,,,,,,
Gaia DR3 5586511451367569408,111.47139410358183,-37.2842117755843,56.411486680588474,2.358416,15.9340315,15.706742073091295,2.681720660628029,1.8402853,20.541985,21.075167,18.95882,,,,,,,,,,,,
Gaia DR3 5895265380327966464,213.30650650722762,-56.741262094420925,85.72400424040188,0.018292425,396.72525,354.0132451245137,179.06854327866327,1.1325172,9.343476,10.448863,8.298997,3396.8691,3380.9346,3480.298,4.0105,3.9779,4.2585,-1.3697,-1.3954,-1.1134,11.6816,11.6276,11.7897
Gaia DR3 5399148382157293696,170.5336137294644,-35.21131256672405,75.43799435556245,1.6056252,297.56113,-146.42907391358065,-259.03890287224584,1.1344038,20.946423,21.696682,19.164387,,,,,,,,,,,,
Gaia DR3 2379962604166006016,347.56913828705433,-25.93119473911205,67.10138026989291,0.022839904,716.21765,715.7831790724741,24.942465882986564,1.4749031,10.325614,11.514855,9.245406,3302.5571,3302.2,3302.9795,4.0174,4.0164,4.0182,-1.3612,-1.3619,-1.3579,14.9106,14.8984,14.9499
Gaia DR3 2371032916186181760,11.2486779084442,-15.274191339893132,66.82874472085788,0.047871757,676.1506,318.1520629418195,-596.6229051027706,1.529972,12.653936,14.4144945,11.383511,,,,,,,,,,,,
Gaia DR3 2372192389852176768,15.837700742832006,-13.806212788118964,62.97945150466397,0.03237664,86.78947,76.0306828908284,41.85387187161063,1.374737,10.863111,12.245049,9.702409,3137.9492,3133.9106,3187.393,4.1543,4.1368,4.328,-0.7785,-0.8026,-0.5875,15.9143,15.8643,16.0382
Gaia DR3 2372192767809294592,15.83877205672847,-13.7994314797556,63.06781556273391,0.034444973,80.34654,73.18766719739608,33.15315830699109,1.3342668,10.628398,11.961716,9.484871,3218.3496,3217.3708,3224.5747,3.9964,3.9931,4.005,-1.2099,-1.2132,-1.1931,15.8661,15.82,16.1015
Gaia DR3 2383999392388000640,345.15340839394395,-23.971174013637587,50.77758394634132,0.017188543,397.95554,194.13144484107667,-347.39255735629183,1.040946,10.691419,11.82505,9.636045,3354.6865,3309.53,3501.2515,4.2769,4.1181,4.6641,-0.8389,-1.0272,-0.3791,19.7086,19.581,19.8967
Gaia DR3 2384000217021721600,345.1401070915563,-23.95439911955039,50.76311724809625,0.01897675,394.91937,191.28731415471967,-345.5003164175645,1.0859003,10.682732,11.815236,9.628812,,,,,,,,,,,,
Gaia DR3 2368212771939556992,3.9914280244393505,-16.61597822404432,56.09623988819728,0.09289024,117.73628,-117.53858200550599,6.82007445644109,4.086586,11.74792,13.408022,10.4971695,,,,,,,,,,,,
Gaia DR3 6118581861234228352,216.36501919485525,-36.841877719814676,84.42185654875391,0.31180286,549.2158,-285.0581855372661,-469.4462994488617,0.9741719,18.931221,21.121119,17.394049,,,,,,,,,,,,
